OBJECTID,PROPERTY_NAME,ADDRESS,PROPERTY_TYPE,PARK_TYPE,PARK_ACRES,TURF_SQFT
1,Hayden Park,322 W Tamarisk Ave,1,Community,12.19661686,389638.81598046
2,10th Street Wash Basin,1001 E Townley,1,Neighborhood,491.54755061,184022.28886545
3,Mercury Mine Basin,3535 E Mountain View,1,Neighborhood,64.19679807,66807.78307977
5,Matthew Henson Park,803 W Tonto St,1,Pocket,9.60652842,32505.79628322
6,Telephone Pioneers of America Park,1946 W Morningside Dr,1,Neighborhood,51.8971486,100985.25216047
7,Coyote Basin,2730 E Beardsley Rd,1,Neighborhood,1660.42512411,554858.89560716
8,Grovers Basin,17447 N 20th St,1,Neighborhood,21.33988568,853228.40696637
9,Quail Run Basin,18434 N 12th St,1,Neighborhood,3.11861182,126346.18354373
10,Turtle Rock Basin,17414 N 12th St,1,Neighborhood,16.44920954,544222.47651066
11,Playa Margarita Park,3615 W Roeser Rd,1,Community,13.12176504,120779.44264307
12,El Reposo Park,502 E Alta Vista Rd,1,Community,23.74449381,646443.7246763
13,El Prado Park,6428 S. 19th Ave,1,Community,25.17287518,1111412.28617783
14,Nevitt Park,6815 S 44th Way,1,Neighborhood,14.16689568,276032.75977942
15,Cesar Chavez Park,7858 S 35th Ave,1,Regional,441.89519645,
16,Francisco Highland Park,2702 E South Mountain Ave,1,Neighborhood,16.46862424,236834.73649874
18,43rd Avenue & Southern Ave SEC Basin,43rd Avenue & Southern Ave SEC,1,Community,193.27989021,550981.69151252
19,Laveen Area Conveyance Channel, ,1,Linear,30.89282838,
20,Indian Bend Wash Basin,Thunderbird Rd at SR 51,1,Neighborhood,14.42958117,170090.94735277
21,Sunset Basin,63rd Ave & Indian School,1,Neighborhood,5.32062982,334643.99424965
22,Bethany Home Outflow Channel,Camelback to 75th Ave,1,Linear,0.66378774,
23,Patriots Square Park,Central Ave & Washington St,3,Mixed Use,4.12418013,
24,Cancer Survivors Park,1428 N 1st St,1,Linear,4.99804304,
25,Park of 4 Waters,4619 E Washington St,3,Museum,8.32352281,
26,Old Cross Cut Canal,Osborn Rd & 48th St to Indian School Rd,1,Linear,91.38717044,804723.38916087
27,Cementerio Lindo,1502 W Maricopa Freeway,3,Cemetery,44.29532734,
28,Shemer Art Center,5005 E Camelback Rd,3,Museum,35.90430892,
29,Ak-Chin Pavilion,2121 N 83rd Avenue,3,Event Space,35.78584748,
30,American Family Fields of Phoenix,3600 N 56th Ave,3,Stadium,3.31823332,
31,Pioneer & Military Memorial,1400 W Jefferson St,3,Cemetery,0.31214414,
32,Tovrea Castle,5041 E Van Buren St,3,Museum,0.21628839,
33,Pueblo Grande Museum,4619 E Washington St,3,Museum,0.32872605,
34,Heritage Square Science & History Museum,115 N 6th St,3,Mixed Use,0.40450926,
35,Hermoso Park,2030 E Southern Ave,1,Community,9.83866936,776966.69277056
36,Momo Park,5447 S 5th St,1,Pocket,60.73486291,22490.68891064
37,Margaret T. Hance Park,67 W Culver,1,Regional,27.15306093,584057.19940526
38,Mountain View Community Center Park,"1104 E. Grovers Avenue
",1,Community,15.57109365,93078.76050937
39,Dove Valley Park,4740 E Rancho Paloma Dr,1,Neighborhood,78.55110178,46659.16136424
40,Conocido Park,15645 N 31st Ave,1,Community,33.5395572,1154011.71570791
41,Adobe Mountain Park,3410 W Crest Dr,1,Neighborhood,7.08015736,132360.8496007
42,Laveen Village Park,3146 W Vineyard Rd,1,Neighborhood,12.3203834,341308.03011172
43,Tramonto Park,35425 N. 32nd Dr,1,Neighborhood,2.20735364,255293.81332952
44,John F. & Mary P. Long Homestead Park,2602 W. Glendale Ave,1,Neighborhood,14.42088126,80490.45043291
45,Winifred Green Park,1702 W Peoria Ave,1,Neighborhood,43.36789167,49849.14902474
46,Peace Park,5221 S 13th Pl,1,Pocket,4.64763424,
47,Pioneer Village,I-17 Freeway & Pioneer Road,3,Museum,4.30082442,
48,Lookout Mountain, ,2,Mountain Preserve,129.18709129,
49,Shadow Mountain, ,2,Mountain Preserve,8.66504675,
