Date,Site,Count,match,Year
2019-01-01,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-01,E - Camelback - Echo Canyon Trail,1259.0,Echo Canyon Camelback Mountain,2019
2019-01-01,E - PMP - Piestewa Summit Trail,1175.0,Piestewa Peak,2019
2019-01-01,N - 25th St. and Acoma-Shadow Mtn N,50.0,Shadow Mountain,2019
2019-01-01,N - Deem Hills - East - 39th Ave TH,151.0,Deem Hills,2019
2019-01-01,N - Deem Hills - West - 51st Ave TH,282.0,Deem Hills,2019
2019-01-01,N - Lookout Mountain - 306 - North Side TH,866.0,Lookout Mountain,2019
2019-01-01,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-01,South Mountain- Desert Classic Trail,531.0,South Mountain,2019
2019-01-01,South Mountain-620 Trailhead,434.0,South Mountain,2019
2019-01-01,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-01,South Mountain-Holbert Trail,228.0,South Mountain,2019
2019-01-01,South Mountain-Judith Tunell Trail,134.0,South Mountain,2019
2019-01-01,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-01,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-01,South Mountain-Mormon Trail,1048.0,South Mountain,2019
2019-01-01,South Mountain-Pima Dirt Rd. ,1288.0,South Mountain,2019
2019-01-01,South Mountain-Pima West Loop,850.0,South Mountain,2019
2019-01-01,South Mountain-Telegraph Pass Trail,439.0,South Mountain,2019
2019-01-02,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-02,E - Camelback - Echo Canyon Trail,1068.0,Echo Canyon Camelback Mountain,2019
2019-01-02,E - PMP - Piestewa Summit Trail,927.0,Piestewa Peak,2019
2019-01-02,N - 25th St. and Acoma-Shadow Mtn N,48.0,Shadow Mountain,2019
2019-01-02,N - Deem Hills - East - 39th Ave TH,75.0,Deem Hills,2019
2019-01-02,N - Deem Hills - West - 51st Ave TH,140.0,Deem Hills,2019
2019-01-02,N - Lookout Mountain - 306 - North Side TH,508.0,Lookout Mountain,2019
2019-01-02,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
